Distance (km),Regular Fare (₱),Discounted Fare (₱)
1,15.0,12.0
2,15.0,12.0
3,15.0,12.0
4,15.0,12.0
5,15.0,12.0
6,15.0,12.0
7,15.0,12.0
8,15.0,12.0
9,15.0,12.0
10,15.0,12.0
11,15.0,12.0
12,15.0,12.0
13,15.0,12.0
14,15.0,12.0
15,15.0,12.0
16,17.75,14.0
17,20.25,16.25
18,23.0,18.25
19,25.5,20.5
20,28.25,22.5
21,31.0,24.75
22,33.5,26.75
23,36.25,29.0
24,38.75,31.0
25,41.5,33.25
26,44.25,35.25
27,46.75,37.5
28,49.5,39.5
29,52.0,41.75
30,54.75,43.75
31,84.0,67.0
32,86.5,69.25
33,89.25,71.25
34,91.75,73.5
35,94.5,75.5
36,97.25,77.75
37,99.75,79.75
38,102.5,82.0
39,105.0,84.0
40,107.75,86.25
41,110.5,88.25
42,113.0,90.5
43,115.75,92.5
44,118.25,94.75
45,121.0,96.75
46,123.75,99.0
47,126.25,101.0
48,129.0,103.25
49,131.5,105.25
50,134.25,107.5
51,137.0,109.5
52,139.5,111.75
53,142.25,113.75
54,144.75,116.0
55,147.5,118.0
56,150.25,120.0
57,152.75,122.25
58,155.5,124.25
59,158.0,126.5
60,160.75,128.5
