Distance (km),Regular Fare (₱),Discounted Fare (₱)
1,13.0,10.5
2,13.0,10.5
3,13.0,10.5
4,13.0,10.5
5,14.75,11.75
6,16.5,13.25
7,18.5,14.75
8,20.25,16.25
9,22.0,17.5
10,23.75,19.0
11,25.5,20.5
12,27.5,22.0
13,29.25,23.25
14,31.0,24.75
15,32.75,26.25
16,34.5,27.75
17,36.5,29.0
18,38.25,30.5
19,40.0,32.0
20,41.75,33.5
21,43.5,35.0
22,45.5,36.25
23,47.25,37.75
24,49.0,39.25
25,50.75,40.75
26,52.5,42.0
27,54.5,43.5
28,56.25,45.0
29,58.0,46.5
30,59.75,47.75
31,61.5,49.25
32,63.5,50.75
33,65.25,52.25
34,67.0,53.5
35,68.75,55.0
36,70.5,56.5
37,72.5,58.0
38,74.25,59.25
39,76.0,60.75
40,77.75,62.25
41,79.5,63.75
42,81.5,65.0
43,83.25,66.5
44,85.0,68.0
45,86.75,69.5
46,88.5,71.0
47,90.5,72.25
48,92.25,73.75
49,94.0,75.25
50,95.75,76.75
